Code,Country_name,Population
ABW,Aruba,106445.0
AFG,Afghanistan,41128771.0
AGO,Angola,35588987.0
ALB,Albania,2775634.0
AND,Andorra,79824.0
ARE,United Arab Emirates,9441129.0
ARG,Argentina,46234830.0
ARM,Armenia,2780469.0
ASM,American Samoa,44273.0
ATG,Antigua and Barbuda,93763.0
AUS,Australia,25978935.0
AUT,Austria,9042528.0
AZE,Azerbaijan,10175016.0
BDI,Burundi,12889576.0
BEL,Belgium,11669446.0
BEN,Benin,13352864.0
BFA,Burkina Faso,22673762.0
BGD,Bangladesh,171186372.0
BGR,Bulgaria,6465097.0
BHR,Bahrain,1472233.0
BHS,"Bahamas, The",409984.0
BIH,Bosnia and Herzegovina,3233526.0
BLR,Belarus,9208701.0
BLZ,Belize,405272.0
BMU,Bermuda,63532.0
BOL,Bolivia,12224110.0
BRA,Brazil,215313498.0
BRB,Barbados,281635.0
BRN,Brunei Darussalam,449002.0
BTN,Bhutan,782455.0
BWA,Botswana,2630296.0
CAF,Central African Republic,5579144.0
CAN,Canada,38929902.0
CHE,Switzerland,8769741.0
CHL,Chile,19603733.0
CHN,China,1412175000.0
CIV,Cote d'Ivoire,28160542.0
CMR,Cameroon,27914536.0
COD,"Congo, Dem. Rep.",99010212.0
COG,"Congo, Rep.",5970424.0
COL,Colombia,51874024.0
COM,Comoros,836774.0
CPV,Cabo Verde,593149.0
CRI,Costa Rica,5180829.0
CUB,Cuba,11212191.0
CUW,Curacao,149996.0
CYM,Cayman Islands,68706.0
CYP,Cyprus,1251488.0
CZE,Czechia,10526073.0
DEU,Germany,84079811.0
DJI,Djibouti,1120849.0
DMA,Dominica,72737.0
DNK,Denmark,5903037.0
DOM,Dominican Republic,11228821.0
DZA,Algeria,44903225.0
ECU,Ecuador,18001000.0
EGY,"Egypt, Arab Rep.",110990103.0
ERI,Eritrea,3684032.0
ESP,Spain,47615034.0
EST,Estonia,1344768.0
ETH,Ethiopia,123379924.0
FIN,Finland,5556880.0
FJI,Fiji,929766.0
FRA,France,67935660.0
FRO,Faroe Islands,53090.0
FSM,"Micronesia, Fed. Sts.",114164.0
GAB,Gabon,2388992.0
GBR,United Kingdom,66971411.0
GEO,Georgia,3712502.0
GHA,Ghana,33475870.0
GIB,Gibraltar,32649.0
GIN,Guinea,13859341.0
GMB,"Gambia, The",2705992.0
GNB,Guinea-Bissau,2105566.0
GNQ,Equatorial Guinea,1674908.0
GRC,Greece,10566531.0
GRD,Grenada,125438.0
GRL,Greenland,56661.0
GTM,Guatemala,17357886.0
GUM,Guam,171774.0
GUY,Guyana,808726.0
HKG,"Hong Kong SAR, China",7346100.0
HND,Honduras,10432860.0
HRV,Croatia,3854000.0
HTI,Haiti,11584996.0
HUN,Hungary,9683505.0
IDN,Indonesia,275501339.0
IMN,Isle of Man,84519.0
IND,India,1417173173.0
IRL,Ireland,5086988.0
IRN,"Iran, Islamic Rep.",88550570.0
IRQ,Iraq,44496122.0
ISL,Iceland,381900.0
ISR,Israel,9550600.0
ITA,Italy,58856847.0
JAM,Jamaica,2827377.0
JOR,Jordan,11285869.0
JPN,Japan,125124989.0
KAZ,Kazakhstan,19621972.0
KEN,Kenya,54027487.0
KGZ,Kyrgyz Republic,6803300.0
KHM,Cambodia,16767842.0
KIR,Kiribati,131232.0
KNA,St. Kitts and Nevis,47657.0
KOR,"Korea, Rep.",51628117.0
KWT,Kuwait,4268873.0
LAO,Lao PDR,7529475.0
LBN,Lebanon,5489739.0
LBR,Liberia,5302681.0
LBY,Libya,6812341.0
LCA,St. Lucia,179857.0
LIE,Liechtenstein,39327.0
LKA,Sri Lanka,22181000.0
LSO,Lesotho,2305825.0
LTU,Lithuania,2833000.0
LUX,Luxembourg,650774.0
LVA,Latvia,1883379.0
MAC,"Macao SAR, China",695168.0
MAF,St. Martin (French part),31791.0
MAR,Morocco,37457971.0
MCO,Monaco,36469.0
MDA,Moldova,2592477.0
MDG,Madagascar,29611714.0
MDV,Maldives,523787.0
MEX,Mexico,127504125.0
MHL,Marshall Islands,41569.0
MKD,North Macedonia,2057679.0
MLI,Mali,22593590.0
MLT,Malta,523417.0
MMR,Myanmar,54179306.0
MNE,Montenegro,616159.0
MNG,Mongolia,3398366.0
MNP,Northern Mariana Islands,49551.0
